SCIENTIFIC NAME,SIZE
Bubulcus ibis, 19-21 in
Dendrocygna autumnalis, 18-21 in
Cairina moschata, 25-35 in
Anas crecca, 12-16 in
Anas discors, 15-17 in
Mareca americana, 16.5-23.2 in
Spatula discors, 14.2-16.1 in
Aythya affinis, 15-18 in
Oxyura jamaicensis, 14-16 in
Sarcoramphus papa, 26-32 in
Coragyps atratus, 23-27 in
Cathartes aura, 26-32 in
Buteo jamaicensis, 19-25 in
Buteo brachyurus, 15-17 in
Buteo albonotatus, 18-21 in
Falco peregrinus, 16-20 in
Accipiter striatus, 10-14 in
Accipiter cooperii, 14-21 in
Falco sparverius, 9-12 in
Ortalis poliocephala, 24-26 in
Dendrortyx macroura, 11-16 in
Cyrtonyx montezumae, 8-9 in
Columba livia, 13-14 in
Patagioenas fasciata, 14-15 in
Zenaida asiatica, 11-12 in
Zenaida macroura, 12 in
Columbina inca, 7.5-8.5 in
Columbina passerina, 6-7 in
Leptotila verreauxi, 10-12 in
Ara militaris, 28-31 in
Amazona finschi, 13 in
Geococcyx velox, 22-24 in
Megascops trichopsis, 6.5-8 in
Micrathene whitneyi, 5-6 in
Glaucidium gnoma, 7-7.5 in
Bubo virginianus, 18-25 in
Ciccaba virgata, 11.4-15 in
Asio stygius, 15-18.1 in
Cypseloides niger, 7-7.5 in
Aeronautes saxatalis, 6-7 in
Tachycineta thalassina, 5-5.25 in
Stelgidopteryx serripennis, 5.5 in
Hirundo rustica, 6.75-7.5 in
Cynanthus sordidus, 3.5-4 in
Amazilia beryllina, 3.75-4.25 in
Amazilia viridifrons, 4-4.5 in
Lampornis clemenciae, 5-5.5 in
Lamprolaima rhami, 4.5-5 in
Eugenes fulgens, 4.25-4.8 in
Calothorax pulcher, 3-3.5 in
Archilochus colubris, 3-3.75 in
Selasphorus rufus, 3.75 in
Hylocharis leucotis, 3.4 in
Atthis heloisa, 2.75 in
Colibri thalassinus, 4 in
Lampornis amethystinus, 4.5-5 in
Trogon elegans, 11-12.5 in
Trogon mexicanus, 12.5 in
Melanerpes formicivorus, 9 in
Sphyrapicus varius, 8-9 in
Dryocopus lineatus, 12.4-14.2 in
Dryobates villosus, 7.1-10.2 in
Campephilus guatemalensis, 12-15 in
Colaptes auratus, 12.75-14 in
Lepidocolaptes leucogaster, 8.5-9.5 in
Contopus pertinax, 8 in
Sayornis nigricans, 6-7 in
Myiarchus tuberculifer, 6.5-7 in
Myiarchus nuttingi, 7-7.5 in
Tyrannus vociferans, 8-9 in
Tyrannus crassirostris, 8.5-10.5 in
Tyrannus verticalis, 8.75 in
Sayornis saya, 7-8 in
Vireo cassinii, 4-6 in
Vireo plumbeus, 5-6 in
Vireo huttoni, 4.75-5 in
Vireo gilvus, 5-5.5 in
Cyanocitta stelleri, 11.5 in
Corvus corax, 24-26 in
Eremophila alpestris, 7-8 in
Aimophila ruficeps, 6 in
Poecile sclateri, 5 in
Baeolophus wollweberi, 4-5.25 in
Psaltriparus minimus, 4.5 in
Campylorhynchus jocosus, 6.5 in
Thryomanes bewickii, 5.25 in
Catherpes mexicanus, 4-6 in
Salpinctes obsoletus, 5-6 in
Henicorhina leucophrys, 4.25 in
Oreothlypis superciliosa, 4.25 in
Cinclus mexicanus, 7-8 in
Polioptila caerulea, 4.25 in
Myadestes occidentalis, 8 in
Catharus aurantiirostris, 5.5 in
Catharus occidentalis, 6.5 in
Catharus frantzii, 6.5 in
Turdus migratorius, 10 in
Mimus polyglottos, 10 in
Toxostoma curvirostre, 9.5-11.5 in
Melanotis caerulescens, 9.5-10.5 in
Bombycilla cedrorum, 7 in
Ptiliogonys cinereus, 7.5 in
Empidonax oberholseri, 5.75 in
Pooecetes gramineus, 5.5-6.75 in
Empidonax occidentalis, 5.5-6 in
Empidonax affinis, 5.25 in
Mniotilta varia, 5 in
Cardellina rubrifrons, 5 in
Mitrephanes phaeocercus, 5 in
Myioborus pictus, 5.5 in
Myioborus miniatus, 6 in
Basileuterus rufifrons, 5-5.5 in
Haemorhous mexicanus, 6 in
Piranga rubra, 7.5-8 in
Icterus wagleri, 8.5-9 in
Pheucticus melanocephalus, 7-8.5 in
Arremon brunneinucha, 7.1-7.5 in
Pipilo ocai, 8.2 in
Pipilo maculatus, 7-7.5 in
Melozone albicollis, 7.3-8.9 in
Aimophila ruficeps, 6 in
Aimophila mystacalis, 6-6.5 in
Spizella passerina, 5.5 in
Melospiza lincolnii, 5.25-6 in
Junco phaeonotus, 6.25 in
Quiscalus mexicanus, 10.5-18.5 in
Molothrus aeneus, 6.5-8.75 in
Carduelis psaltria, 4.5 in
Passer domesticus, 5.5-6.5 in
Cardellina pusilla, 3.9-4.7 in
Spinus notatus, 4-4.5 in
Setophaga townsendi, 4.5-5 in
Anser cygnoides, 32-37 in
Ergaticus ruber, 5.5 in
Picoides scalaris, 7 in
Amazilia wagneri, 3.9 in
Oporornis tolmiei, 5.1 in
Vermivora celata, 4.8-5.3 in
Circus cyaneus, 16-19.5 in
Aratinga canicularis, 8.9 in
Meleagris gallopavo, 30-47 in
Troglodytes aedon, 4.3-5.1 in
Cypseloides rutilus, 3.5-9 in
Hirundo pyrrhonota, 5.1 in
Caprimulgus arizonae, 8.6-10.2 in
Centurus hypopolius, 7.5-8.2 in
Caracara plancus, 47-52 in
Gallus gallus, 28 in
Anser anser, 30-35 in
Aphelocoma californica, 11.5 in
Vermivora ruficapilla, 4.3-5.1 in
Dendroica nigrescens, 5.1 in
Dendroica occidentalis, 4.5-5 in
Dendroica coronata, 4.7-5.9 in
Anas platyrhynchos, 20-26 in