species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype
Columba livia,13.5,354.2,2059,pàlôm,pàlôm,Pigeons and Doves,1
Cyanocitta stelleri,11.5,128.0,2121,cuǐl̲,cuǐl̲-guì,"Jays, Magpies, Crows, and Ravens",0
Lepidocolaptes leucogaster,9.0,36.0,341,ârbìtrò,ârbìtrò,Woodcreepers,0
Anser anser,32.5,3302.41,0,gâns,gâns,Waterfowl,0
Aimophila ruficeps,6.0,18.69,609,mtsùu,mtsùu,New World Sparrows,0
Ortalis poliocephala,25.0,760.0,2443,chìchàlác,chìchàlác,"Chachalacas, Guans, and Curassows",0
Corvus corax,25.0,927.97,1876,ngǎ,ngǎ,"Jays, Magpies, Crows, and Ravens",0
Coragyps atratus,25.0,1881.69,8081,pěch,pěch-rúx,"Vultures, Hawks, and Allies",0
Accipiter cooperii,17.5,429.67,1425,msì,msì-lâg,"Vultures, Hawks, and Allies",0
Archilochus colubris,3.375,3.09,2916,dzǐn̲g,dzǐn̲g,Hummingbirds,0
Psaltriparus minimus,4.5,5.3,2654,mziùud,mziùud,Penduline-Tits and Long-tailed Tits,0
Columbina inca,8.0,47.5,9868,côc,côc,Pigeons and Doves,0
Buteo jamaicensis,22.0,1101.16,2762,msì,msì,"Vultures, Hawks, and Allies",1
Patagioenas fasciata,14.5,366.3,896,pàlôm,pàlôm-dán,Pigeons and Doves,0
Toxostoma curvirostre,10.5,80.54,4778,mquièts,mquièts,"Catbirds, Mockingbirds, and Thrashers",0
Cathartes aura,29.0,1518.24,12429,pěch,pěch,"Vultures, Hawks, and Allies",1
Hirundo rustica,7.125,17.91,1084,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0
Lampornis amethystinus,4.75,5.2,527,dzǐn̲g,dzǐn̲g-yǎ-guì,Hummingbirds,0
Ciccaba virgata,13.2,283.97,318,dǎm̲,dǎm̲-yêt,Owls,0
Zenaida macroura,12.0,118.93,1796,mézh,mézh,Pigeons and Doves,0
Bubulcus ibis,20.0,365.95,4071,gàrs,gàrs,"Herons, Ibis, and Allies",0
Dryobates villosus,8.649999999999999,62.65,1071,càrpìntêr,càrpìntêr-ló-guì,Woodpeckers,0
Campylorhynchus jocosus,6.5,27.6,1839,mguîn̲-quiè,mguîn̲-quiè,Wrens,0
Pipilo ocai,8.2,60.95,1024,chùubây,chùubây,New World Sparrows,0
Junco phaeonotus,6.25,20.4,2021,mguîn̲-x-còl-nquǐts,mguîn̲-x-còl-nquǐts,New World Sparrows,0
Melanotis caerulescens,10.0,61.57,4133,mæ̀cw-guiùu,mæ̀cw-guiùu,"Catbirds, Mockingbirds, and Thrashers",0
Myiarchus tuberculifer,6.75,17.7,2420,mguîn̲-rchǔup,mguîn̲-rchǔup,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0
Leptotila verreauxi,11.0,146.88,3066,guiès-ró-yù,guiès-ró-yù,Pigeons and Doves,0
Cypseloides niger,7.25,39.67,233,xlútsǐ,xlútsǐ-ngǎs,Swifts,0
Selasphorus rufus,3.75,3.5,342,dzǐn̲g,dzǐn̲g,Hummingbirds,0
Arremon brunneinucha,7.3,43.97,1107,mguîn̲-wchǔup,mguîn̲-wchǔup,New World Sparrows,0
Catharus occidentalis,6.5,26.2,1205,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0
Myiarchus nuttingi,7.25,23.0,1792,mguîn̲-rchǔup,mguîn̲-rchǔup,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0
Sayornis saya,7.5,20.9,291,cùchguêr,xín-cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0
Columbina passerina,6.5,35.36,1893,côc,côc,Pigeons and Doves,0
Atthis heloisa,2.75,2.2,750,dzǐn̲g,dzǐn̲g-gué,Hummingbirds,0
Troglodytes bruneicollis,4.699999999999999,10.85,0,nguzhǐn,nguzhǐn-guì,Wrens,0
Empidonax occidentalis,5.75,11.6,920,wǐt,wǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0
Anas crecca,14.0,341.89,335,bǎd,bǎd-guìx,Waterfowl,0
Vireo cassinii,5.0,14.7,857,mtsùu,mtsùu,Vireos,0
Spatula discors,15.15,359.44,1914,bǎd,bǎd-guìx,Waterfowl,0
Caprimulgus arizonae,9.399999999999999,53.3,0,pùrpùrwít,pùrpùrwít,Nightjars,0
Vermivora celata,5.05,9.19,0,wǐt,wǐt,Wood-Warblers,0
Tyrannus verticalis,8.75,39.6,1017,cùchguêr,cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0
Dendroica coronata,5.300000000000001,11.94,0,wǐt,wǐt,Wood-Warblers,0
Meleagris gallopavo,38.5,5791.37,0,mèr,mèr,"Grouse, Quail, and Allies",0
Ara militaris,29.5,1134.0,81,měw,měw,"Parrots, Parakeets, and Allies",0
Turdus migratorius,10.0,78.5,1483,miân,miân,Thrushes,0
Myioborus pictus,5.5,9.79,1031,mguîn̲-mâ-zhiàn,mguîn̲-mâ-zhiàn,Wood-Warblers,0
Falco peregrinus,18.0,759.95,833,msì,msì-dòo,Falcons and Caracaras,0
Amazilia viridifrons,4.25,6.3,449,dzǐn̲g,dzǐn̲g,Hummingbirds,0
Cyrtonyx montezumae,8.5,185.38,18,mtǒ,mtǒ,"Grouse, Quail, and Allies",0
Empidonax affinis,5.25,11.3,364,wǐt,wǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0
Passer domesticus,6.0,26.51,4282,mguîn̲-mòlîn,mguîn̲-mòlîn,Old World Sparrows,0
Amazona finschi,13.0,302.0,281,lòr,lòr,"Parrots, Parakeets, and Allies",0
Quiscalus mexicanus,14.5,160.47,6432,mguîn̲-bǒo,mguîn̲-bǒo,Blackbirds,0
Glaucidium gnoma,7.25,61.25,369,mquí,mquí,Owls,0
Aratinga canicularis,8.9,85.0,0,pèrícw,pèrícw,"Parrots, Parakeets, and Allies",0
Eremophila alpestris,7.5,33.33,77,mguîn̲-ló-liù,mguîn̲-ló-liù,Larks,0
Sayornis nigricans,6.5,18.63,1771,mguîn̲-guiùu,mguîn̲-guiùu,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0
Cinclus mexicanus,7.5,56.68,16,mguîn̲-nìs,mguîn̲-nìs,Dippers,0
Mareca americana,19.85,754.61,266,bǎd,bǎd-guìx,Waterfowl,0
Dendroica nigrescens,5.1,8.7,0,wǐt,wǐt,Wood-Warblers,0
Cardellina rubrifrons,5.0,8.1,530,wǐt,wǐt,Wood-Warblers,0
Micrathene whitneyi,5.5,41.0,29,mquí,mquí,Owls,0
Myadestes occidentalis,8.0,36.4,3577,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,1
Cardellina pusilla,4.3,6.96,6932,yěets,yěets,Wood-Warblers,0
Cairina moschata,30.0,2415.78,71,bǎd,bǎd,Waterfowl,0
Setophaga townsendi,4.75,8.84,3370,yěets,yěets-pînt,Wood-Warblers,0
Amazilia beryllina,4.0,4.5,6248,dzǐn̲g,dzǐn̲g,Hummingbirds,0
Vireo plumbeus,5.5,16.4,628,mtsùu,mtsùu,Vireos,0
Megascops trichopsis,7.25,88.26,109,mquí,mquí,Owls,0
Catherpes mexicanus,5.0,11.97,2256,nguzhǐn,nguzhǐn-zhàn̲-quiè,Wrens,0
Cypseloides rutilus,6.25,20.2,0,xlútsǐ,xlútsǐ-ngǎs,Swifts,0
Tyrannus vociferans,8.5,45.6,4802,cùchguêr,cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0
Contopus pertinax,8.0,27.2,2888,pédrǐt,pédrǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0
Ptiliogonys cinereus,7.5,33.6,5110,péedrùuch,péedrùuch,Silky-flycatchers,0
Poecile sclateri,5.0,10.09,1118,mguîn̲-pàyâs,mguîn̲-pàyâs,"Tits, Chickadees, and Titmice",0
Catharus frantzii,6.5,28.9,352,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0
Icterus wagleri,8.75,41.8,5030,mguěy,mguěy-guièe-pchôg,Blackbirds,1
Amazilia wagneri,3.9,5.24,0,dzǐn̲g,dzǐn̲g,Hummingbirds,0
Dendroica occidentalis,4.75,10.4,0,wǐt,wǐt,Wood-Warblers,0
Vermivora ruficapilla,4.699999999999999,8.09,0,mguîn̲-tsíríic,mguîn̲-tsíríic,Wood-Warblers,0
Melospiza lincolnii,5.625,16.6,1623,mtsùu,mtsùu,New World Sparrows,0
Cynanthus sordidus,3.75,4.0,4449,dzǐn̲g,dzǐn̲g,Hummingbirds,0
Centurus hypopolius,7.85,52.4,0,càrpìntêr,càrpìntêr-psì,Woodpeckers,0
Pheucticus melanocephalus,7.75,47.13,2506,mguěy,mguěy-guièe-dán,"Cardinals, Grosbeaks, and Allies",0
Eugenes fulgens,4.525,8.0,1557,dzǐn̲g,dzǐn̲g,Hummingbirds,0
Mniotilta varia,5.0,10.9,2721,wǐt,wǐt,Wood-Warblers,0
Zenaida asiatica,11.5,153.0,10285,còolíchè,còolíchè,Pigeons and Doves,0
Henicorhina leucophrys,4.25,16.19,1515,nguzhǐn,nguzhǐn-guì,Wrens,0
Molothrus aeneus,7.625,62.61,3346,sànât-bûrr,sànât-bûrr,Blackbirds,0
Bubo virginianus,21.5,1575.7,137,dǎm̲,dǎm̲,Owls,1
Baeolophus wollweberi,4.625,10.4,488,mguîn̲-pàyâs,mguîn̲-pàyâs,"Tits, Chickadees, and Titmice",0
Dendrortyx macroura,13.5,430.99,623,mtsòo,mtsòo,"Grouse, Quail, and Allies",0
Vireo huttoni,4.875,11.3,1998,mtsùu,mtsùu,Vireos,0
Mimus polyglottos,10.0,48.5,1560,mquièts,mquièts,"Catbirds, Mockingbirds, and Thrashers",0
Accipiter striatus,12.0,130.59,803,msì,msì-lâg,"Vultures, Hawks, and Allies",1
Lamprolaima rhami,4.75,7.8,398,dzǐn̲g,dzǐn̲g,Hummingbirds,0
Anas platyrhynchos,23.0,843.42,0,bǎd,bǎd,Waterfowl,0
Dendrocygna autumnalis,19.5,755.3,1030,pìxîx,pìxîx,Waterfowl,0
Stelgidopteryx serripennis,5.5,15.69,4913,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0
Campephilus guatemalensis,13.5,242.0,804,càrpìntêr,càrpìntêr-mâch,Woodpeckers,0
Melanerpes formicivorus,9.0,79.62,854,càrpìntêr,càrpìntêr-ngǎs,Woodpeckers,0
Sphyrapicus varius,8.5,50.3,629,càrpìntêr,càrpìntêr-diè,Woodpeckers,0
Myioborus miniatus,6.0,9.0,3228,mguîn̲-mâ-zhiàn,mguîn̲-mâ-zhiàn,Wood-Warblers,0
Dryocopus lineatus,13.3,183.19,1019,càrpìntêr,càrpìntêr-mâch,Woodpeckers,0
Buteo albonotatus,19.5,745.92,914,msì,msì,"Vultures, Hawks, and Allies",0
Hirundo pyrrhonota,5.1,21.6,0,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0
Asio stygius,16.55,565.0,10,dǎm̲,dǎm̲-yêt,Owls,0
Oreothlypis superciliosa,4.25,9.0,2065,nguzhǐn,nguzhǐn-gùts,Wood-Warblers,0
Calothorax pulcher,3.25,2.7,561,dzǐn̲g,dzǐn̲g,Hummingbirds,0
Hylocharis leucotis,3.4,3.39,2563,dzǐn̲g,dzǐn̲g-dán-yǎ-guì,Hummingbirds,0
Mitrephanes phaeocercus,5.0,8.59,1667,wǐt,wǐt-dán,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0
Spinus notatus,4.25,10.9,643,yěets,yěets-dán,"Finches, Euphonias, and Allies",0
Carduelis psaltria,4.5,8.77,0,mdzíl-dò,mdzíl-dò,"Finches, Euphonias, and Allies",0
Gallus gallus,28.0,751.72,0,nguǐd,nguǐd,"Grouse, Quail, and Allies",0
Oporornis tolmiei,5.1,10.4,0,wǐt,wǐt,Wood-Warblers,0
Ergaticus ruber,5.5,8.1,0,x-quǐit-ngùbìdz,x-quǐit-ngùbìdz,Wood-Warblers,0
Oxyura jamaicensis,15.0,608.15,635,bǎd,bǎd-guìx,Waterfowl,0
Falco sparverius,10.5,114.61,2248,líd,líd,Falcons and Caracaras,0
Empidonax oberholseri,5.75,10.4,1136,wǐt,wǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0
Aimophila mystacalis,6.25,22.2,0,mtsùu,mtsùu,New World Sparrows,0
Basileuterus rufifrons,5.25,10.4,4522,mguîn̲-dǎm̲,mguîn̲-dǎm̲,Wood-Warblers,0
Pooecetes gramineus,6.125,25.68,193,wǐt,wǐt,New World Sparrows,0
Salpinctes obsoletus,5.5,16.37,1006,nguzhǐn,nguzhǐn-quiè,Wrens,0
Melozone albicollis,8.1,46.4,8571,chûurr,chûurr,New World Sparrows,0
Thryomanes bewickii,5.25,9.9,5228,nguzhǐn,nguzhǐn,Wrens,1
Picoides scalaris,7.0,31.59,0,càrpìntêr,càrpìntêr-psì-yèen̲,Woodpeckers,0
Trogon elegans,11.75,70.89,273,chòo-dzê,chòo-dzê,Trogons and Quetzals,0
Lampornis clemenciae,5.25,7.55,786,dzǐn̲g,dzǐn̲g,Hummingbirds,0
Spizella passerina,5.5,12.2,1750,mtsùu,mtsùu,New World Sparrows,0
Trogon mexicanus,12.5,71.0,1492,mèr-dán,mèr-dán,Trogons and Quetzals,0
Vireo gilvus,5.25,12.67,3079,mtsùu,mtsùu,Vireos,0
Piranga rubra,7.75,29.13,1809,mguěy,mguěy,"Cardinals, Grosbeaks, and Allies",0
Caracara plancus,49.5,1078.62,0,mguîn̲-rlæ̌-dzìt,mguîn̲-rlæ̌-dzìt,Falcons and Caracaras,0
Aythya affinis,16.5,819.45,251,bǎd,bǎd-guìx,Waterfowl,0
Circus cyaneus,17.75,392.98,0,msì,msì-lâg,"Vultures, Hawks, and Allies",0
Aphelocoma californica,11.5,85.74,0,cuǐl̲,cuǐl̲,"Jays, Magpies, Crows, and Ravens",0
Catharus aurantiirostris,5.5,29.8,1188,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0
Polioptila caerulea,4.25,5.8,6172,dìx,dìx,Gnatcatchers,0
Bombycilla cedrorum,7.0,31.58,521,mguîn̲-bæ̀d,mguîn̲-bæ̀d,Waxwings,0
Tyrannus crassirostris,9.5,55.89,2031,cùchguêr,cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0
Pipilo maculatus,7.25,39.28,1504,mguîn̲-wǐx,mguîn̲-wǐx,New World Sparrows,0
Buteo brachyurus,16.0,496.01,1234,msì,msì,"Vultures, Hawks, and Allies",0
Anser cygnoides,34.5,3511.94,0,gâns,gâns,Waterfowl,0
Aeronautes saxatalis,6.5,32.1,246,xlútsǐ,xlútsǐ-ngǎs,Swifts,0
Geococcyx velox,23.0,179.89,624,mriě,mriě,Cuckoos,0
Tachycineta thalassina,5.125,14.14,2302,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0
Colaptes auratus,13.375,131.46,873,mguîn̲-pliêgw,mguîn̲-pliêgw,Woodpeckers,0
Haemorhous mexicanus,6.0,21.4,7512,mguěy,mguěy,"Finches, Euphonias, and Allies",1
Colibri thalassinus,4.0,5.9,862,dzǐn̲g,dzǐn̲g-yǎ-guì,Hummingbirds,0
