,species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,density,e1,e2
154,Diglossa baritula,,9.2,1041,,,,,,,,,,
155,Leiothlypis ruficapilla,,0.0,5300,,,,,,,,,,
156,Sterna forsteri,,149.0,165,,,,,,,,,,
157,Numenius phaeopus,,364.57,448,,,,,,,,,,
158,Icterus gularis,,55.16,2400,,,,,,,,,,
159,Chaetura vauxi,,17.1,691,,,,,,,,,,
160,Eudocimus albus,,889.66,1254,,,,,,,,,,
161,Turdus rufopalliatus,,75.02,4272,,,,,,,,,,
162,Caracara cheriway,,1078.62,4387,,,,,,,,,,
163,Coereba flaveola,,10.01,386,,,,,,,,,,
164,Setophaga coronata,,0.0,7097,,,,,,,,,,
165,Myiarchus sp.,,0.0,557,,,,,,,,,,
166,Leiothlypis virginiae,,0.0,1695,,,,,,,,,,
167,Empidonax hammondii,,10.44,680,,,,,,,,,,
168,Setophaga petechia,,0.0,2629,,,,,,,,,,
169,Rupornis magnirostris,,0.0,1828,,,,,,,,,,
170,Tityra semifasciata,,79.3,1068,,,,,,,,,,
171,Megarynchus pitangua,,69.91,1561,,,,,,,,,,
172,Geothlypis trichas,,9.54,730,,,,,,,,,,
173,Cyanerpes cyaneus,,14.0,1165,,,,,,,,,,
174,Crotophaga sulcirostris,,82.04,3217,,,,,,,,,,
175,Chondestes grammacus,,29.0,1740,,,,,,,,,,
176,Ortalis vetula,,562.6,389,,,,,,,,,,
177,Herpetotheres cachinnans,,623.58,420,,,,,,,,,,
178,Melozone fusca,,0.0,25,,,,,,,,,,
179,Melanerpes hypopolius,,52.4,2366,,,,,,,,,,
180,Morococcyx erythropygus,,64.53,1029,,,,,,,,,,
181,Icterus galbula,,32.83,1242,,,,,,,,,,
182,Pitangus sulphuratus,,62.85,10326,,,,,,,,,,
183,Chlorospingus flavopectus,,0.0,1392,,,,,,,,,,
184,Calidris minutilla,,22.88,1308,,,,,,,,,,
185,Recurvirostra americana,,304.48,313,,,,,,,,,,
186,Saltator atriceps,,83.79,1149,,,,,,,,,,
187,Cyanolyca nanus,,0.0,707,,,,,,,,,,
188,Anthus rubescens,,20.68,454,,,,,,,,,,
189,Tachybaptus dominicus,,132.59,2240,,,,,,,,,,
190,Peucedramus taeniatus,,11.0,1372,,,,,,,,,,
191,Saltator coerulescens,,54.9,676,,,,,,,,,,
192,Amazona albifrons,,206.0,1519,,,,,,,,,,
193,Tringa flavipes,,77.5,459,,,,,,,,,,
194,Cochlearius cochlearius,,643.21,415,,,,,,,,,,
195,Cassiculus melanicterus,,0.0,2462,,,,,,,,,,
196,Fulica americana,,636.74,1992,,,,,,,,,,
197,Setophaga occidentalis,,0.0,1727,,,,,,,,,,
198,Piranga ludoviciana,,28.1,6139,,,,,,,,,,
199,Ammodramus savannarum,,17.61,325,,,,,,,,,,
200,Actitis macularius,,40.4,2628,,,,,,,,,,
201,Pachyramphus aglaiae,,29.69,1748,,,,,,,,,,
202,Egretta caerulea,,338.61,1604,,,,,,,,,,
203,Spizella pallida,,11.2,608,,,,,,,,,,
204,Tiaris olivaceus,,8.5,484,,,,,,,,,,
205,Pyrocephalus rubinus,,14.4,8761,,,,,,,,,,
206,Leiothlypis celata,,0.0,3241,,,,,,,,,,
207,Sula leucogaster,,1288.82,517,,,,,,,,,,
208,Turdus assimilis,,70.2,1176,,,,,,,,,,
209,Megaceryle alcyon,,148.0,860,,,,,,,,,,
210,Leucophaeus atricilla,,0.0,1493,,,,,,,,,,
211,Thalasseus maximus,,0.0,1104,,,,,,,,,,
212,Regulus calendula,,6.19,1890,,,,,,,,,,
213,Phaethornis longirostris,,6.0,166,,,,,,,,,,
214,Icterus cucullatus,,24.3,842,,,,,,,,,,
215,Vireo nelsoni,,9.4,582,,,,,,,,,,
216,Vireo brevipennis,,11.8,949,,,,,,,,,,
217,Empidonax minimus,,10.0,1838,,,,,,,,,,
218,Thryophilus pleurostictus,,0.0,1725,,,,,,,,,,
219,Chordeiles acutipennis,,48.42,570,,,,,,,,,,
220,Icterus mesomelas,,39.9,107,,,,,,,,,,
221,Eupsittula nana,,0.0,703,,,,,,,,,,
222,Chondrohierax uncinatus,,286.07,219,,,,,,,,,,
223,Glaucidium brasilianum,,75.1,1900,,,,,,,,,,
224,Aphelocoma woodhouseii,,0.0,1840,,,,,,,,,,
225,Campylorhynchus rufinucha,,31.0,2601,,,,,,,,,,
226,Passerina cyanea,,14.69,1547,,,,,,,,,,
227,Vireolanius melitophrys,,34.7,813,,,,,,,,,,
228,Melanerpes chrysogenys,,67.72,2070,,,,,,,,,,
229,Passerina leclancherii,,14.0,2207,,,,,,,,,,
230,Tringa melanoleuca,,161.74,634,,,,,,,,,,
231,Icterus spurius,,19.44,2405,,,,,,,,,,
232,Passerina ciris,,15.54,932,,,,,,,,,,
233,Butorides virescens,,201.5,1672,,,,,,,,,,
234,Dendrocolaptes sanctithomae,,66.9,57,,,,,,,,,,
235,Myiarchus tyrannulus,,35.45,1371,,,,,,,,,,
236,Calocitta formosa,,210.0,3702,,,,,,,,,,
237,Columbina talpacoti,,46.04,1205,,,,,,,,,,
238,Campylorhynchus megalopterus,,33.1,1445,,,,,,,,,,
239,Passerina caerulea,,27.39,3474,,,,,,,,,,
240,Peucaea mystacalis,,0.0,2186,,,,,,,,,,
241,Tyrannus melancholicus,,37.4,6598,,,,,,,,,,
242,Phalacrocorax brasilianus,,1239.29,2731,,,,,,,,,,
243,Buteogallus anthracinus,,975.09,649,,,,,,,,,,
244,Egretta rufescens,,614.0,984,,,,,,,,,,
245,Setophaga nigrescens,,0.0,1454,,,,,,,,,,
246,Certhia americana,,8.1,1123,,,,,,,,,,
247,Thalasseus sandvicensis,,0.0,322,,,,,,,,,,
248,Empidonax sp.,,0.0,1142,,,,,,,,,,
249,Loxia curvirostra,,38.29,587,,,,,,,,,,
250,Podilymbus podiceps,,411.93,539,,,,,,,,,,
251,Basileuterus belli,,10.7,1612,,,,,,,,,,
252,Myiozetetes similis,,28.0,6005,,,,,,,,,,
253,Calidris canutus,,141.87,100,,,,,,,,,,
254,Calidris mauri,,27.82,372,,,,,,,,,,
255,Spatula clypeata,,0.0,725,,,,,,,,,,
256,Arremonops rufivirgatus,,22.43,872,,,,,,,,,,
257,Spinus psaltria,,0.0,7126,,,,,,,,,,
258,Toxostoma ocellatum,,84.29,843,,,,,,,,,,
259,Aimophila notosticta,,27.1,965,,,,,,,,,,
260,Chloroceryle aenea,,13.75,16,,,,,,,,,,
261,Dryobates scalaris,,0.0,2324,,,,,,,,,,
262,Catharus sp.,,0.0,62,,,,,,,,,,
263,Polioptila albiloris,,6.26,2164,,,,,,,,,,
264,Melanerpes aurifrons,,80.77,2712,,,,,,,,,,
265,Tringa semipalmata,,0.0,671,,,,,,,,,,
266,Icteria virens,,24.89,602,,,,,,,,,,
267,Tyrannus forficatus,,39.3,1258,,,,,,,,,,
268,Icterus pustulatus,,36.78,3009,,,,,,,,,,
269,Streptoprocne zonaris,,86.79,1011,,,,,,,,,,
270,Pelecanus occidentalis,,3427.84,1740,,,,,,,,,,
271,Progne chalybea,,42.9,1799,,,,,,,,,,
272,Fregata magnificens,,1490.52,2443,,,,,,,,,,
273,Heliomaster constantii,,7.3,597,,,,,,,,,,
274,Eupsittula canicularis,,0.0,2475,,,,,,,,,,
275,Piranga flava,,37.7,1578,,,,,,,,,,
276,Contopus sordidulus,,13.1,1422,,,,,,,,,,
277,Volatinia jacarina,,9.94,971,,,,,,,,,,
278,Anabacerthia variegaticeps,,27.8,194,,,,,,,,,,
279,Cyanolyca mirabilis,,52.4,97,,,,,,,,,,
280,Lanius ludovicianus,,51.59,960,,,,,,,,,,
281,Sturnella magna,,91.76,680,,,,,,,,,,
282,Egretta tricolor,,372.3,1366,,,,,,,,,,
283,Nyctanassa violacea,,681.67,489,,,,,,,,,,
284,Ardea herodias,,2523.41,1774,,,,,,,,,,
285,Icterus parisorum,,36.48,506,,,,,,,,,,
286,Passeriformes sp.,,0.0,106,,,,,,,,,,
287,Megascops cooperi,,149.94,196,,,,,,,,,,
288,Turdus grayi,,79.5,4195,,,,,,,,,,
289,Piaya cayana,,101.98,1476,,,,,,,,,,
290,Passerellidae sp. (sparrow sp.),,0.0,84,,,,,,,,,,
291,Euphonia elegantissima,,15.0,1522,,,,,,,,,,
292,Synallaxis erythrothorax,,17.1,269,,,,,,,,,,
293,Pachysylvia decurtata,,0.0,348,,,,,,,,,,
294,Setophaga ruticilla,,8.24,1137,,,,,,,,,,
295,Phaethornis striigularis,,3.0,359,,,,,,,,,,
296,Eupherusa eximia,,4.3,119,,,,,,,,,,
297,Contopus cooperi,,32.1,238,,,,,,,,,,
298,Geothlypis tolmiei,,0.0,2101,,,,,,,,,,
299,Myiobius sulphureipygius,,11.64,49,,,,,,,,,,
300,Cyanocompsa parellina,,15.64,980,,,,,,,,,,
301,Icterus abeillei,,33.0,106,,,,,,,,,,
302,Momotus mexicanus,,75.7,1674,,,,,,,,,,
303,Cynanthus latirostris,,3.1,1899,,,,,,,,,,
304,Myiarchus cinerascens,,28.2,1675,,,,,,,,,,
305,Pluvialis squatarola,,250.0,398,,,,,,,,,,
306,Empidonax fulvifrons,,7.9,63,,,,,,,,,,
307,Cardinalis cardinalis,,42.64,1102,,,,,,,,,,
308,Chloroceryle americana,,33.73,1063,,,,,,,,,,
309,Camptostoma imberbe,,7.4,2010,,,,,,,,,,
310,Myiopagis viridicata,,11.51,1419,,,,,,,,,,
311,Antrostomus arizonae,,0.0,371,,,,,,,,,,
312,Anhinga anhinga,,1235.0,380,,,,,,,,,,
313,Jacana spinosa,,94.0,923,,,,,,,,,,
314,Himantopus mexicanus,,176.82,1431,,,,,,,,,,
315,Egretta thula,,371.0,3158,,,,,,,,,,
316,Apodidae sp.,,0.0,122,,,,,,,,,,
317,Icterus graduacauda,,42.2,1108,,,,,,,,,,
318,Tigrisoma mexicanum,,1154.38,171,,,,,,,,,,
319,Vireo hypochryseus,,12.2,2448,,,,,,,,,,
320,Hylocichla mustelina,,50.09,228,,,,,,,,,,
321,Setophaga citrina,,0.0,481,,,,,,,,,,
322,Empidonax flaviventris,,11.8,397,,,,,,,,,,
323,Vermivora cyanoptera,,0.0,122,,,,,,,,,,
324,Vireo griseus,,11.4,386,,,,,,,,,,
325,Dives dives,,91.32,1831,,,,,,,,,,
326,Ardea alba,,0.0,3801,,,,,,,,,,
327,Momotus lessonii,,0.0,460,,,,,,,,,,
328,Falco rufigularis,,163.64,214,,,,,,,,,,
329,Pseudastur albicollis,,0.0,169,,,,,,,,,,
330,Formicarius analis,,62.19,146,,,,,,,,,,
331,Tachycineta albilinea,,16.7,890,,,,,,,,,,
332,Ramphocelus sanguinolentus,,41.0,450,,,,,,,,,,
333,Panyptila cayennensis,,21.1,33,,,,,,,,,,
334,Pachyramphus major,,24.8,179,,,,,,,,,,
335,Sterna hirundo,,129.15,129,,,,,,,,,,
336,Amazilia rutila,,5.24,1506,,,,,,,,,,
337,Icterus sp.,,0.0,299,,,,,,,,,,
338,Icterus bullockii,,37.9,2841,,,,,,,,,,
339,Xenotriccus mexicanus,,13.8,845,,,,,,,,,,
340,Streptoprocne rutila,,20.2,337,,,,,,,,,,
341,Pandion haliaetus,,1483.2,1290,,,,,,,,,,
342,Psarocolius montezuma,,309.87,818,,,,,,,,,,
343,Leucophaeus pipixcan,,0.0,336,,,,,,,,,,
344,Setophaga pitiayumi,,0.0,276,,,,,,,,,,
345,Empidonax wrightii,,12.3,265,,,,,,,,,,
346,Pionus senilis,,212.0,280,,,,,,,,,,
347,Hylocharis eliciae,,3.6,10,,,,,,,,,,
348,Pheucticus ludovicianus,,42.0,1132,,,,,,,,,,
349,Gallinula galeata,,0.0,503,,,,,,,,,,
350,Nyctidromus albicollis,,57.84,435,,,,,,,,,,
351,Charadrius vociferus,,96.44,996,,,,,,,,,,
352,Dendrocincla anabatina,,34.21,68,,,,,,,,,,
353,Sporophila morelleti/torqueola,,0.0,95,,,,,,,,,,
354,Sporophila morelleti,,0.0,894,,,,,,,,,,
355,Vireo flavoviridis,,17.59,596,,,,,,,,,,
356,Xiphorhynchus flavigaster,,46.19,1285,,,,,,,,,,
357,Selasphorus platycercus,,3.54,222,,,,,,,,,,
358,Tinamus major,,1026.21,48,,,,,,,,,,
359,Setophaga graciae,,0.0,226,,,,,,,,,,
360,Sialia sialis,,27.5,203,,,,,,,,,,
361,Colinus virginianus,,171.89,313,,,,,,,,,,
362,Cyanoloxia cyanoides,,0.0,158,,,,,,,,,,
363,Tringa incana,,0.0,20,,,,,,,,,,
364,Turdus infuscatus,,72.4,409,,,,,,,,,,
365,Thraupis episcopus,,35.0,855,,,,,,,,,,
366,Euphonia gouldi,,14.0,121,,,,,,,,,,
367,Psilorhinus morio,,0.0,1284,,,,,,,,,,
368,Icterus pectoralis,,46.5,700,,,,,,,,,,
369,Sporophila torqueola,,8.7,2994,,,,,,,,,,
370,Aulacorhynchus prasinus,,170.56,913,,,,,,,,,,
371,Phaethon aethereus,,749.99,126,,,,,,,,,,
372,Limnodromus scolopaceus,,104.4,83,,,,,,,,,,
373,Xiphorhynchus erythropygius,,46.8,131,,,,,,,,,,
374,Psittacara holochlorus,,0.0,195,,,,,,,,,,
375,Peucaea ruficauda,,0.0,933,,,,,,,,,,
376,Elaenia flavogaster,,24.8,218,,,,,,,,,,
377,Peucaea sumichrasti,,0.0,659,,,,,,,,,,
378,Geothlypis poliocephala,,14.6,275,,,,,,,,,,
379,Chlorostilbon canivetii,,2.61,239,,,,,,,,,,
380,Trochilidae sp.,,0.0,955,,,,,,,,,,
381,Euphagus cyanocephalus,,62.48,22,,,,,,,,,,
382,Chordeiles sp.,,0.0,15,,,,,,,,,,
383,Caryothraustes poliogaster,,41.8,227,,,,,,,,,,
384,Saltator maximus,,47.62,321,,,,,,,,,,
385,Henicorhina leucosticta,,14.18,466,,,,,,,,,,
386,Trogon massena,,141.0,79,,,,,,,,,,
387,Catharus ustulatus,,30.3,522,,,,,,,,,,
388,Spizella atrogularis,,11.3,12,,,,,,,,,,
389,Vireo cassinii/plumbeus,,0.0,42,,,,,,,,,,
390,Amazilia violiceps,,5.1,241,,,,,,,,,,
391,Glaucidium palmarum,,45.7,520,,,,,,,,,,
392,Mycteria americana,,2554.47,834,,,,,,,,,,
393,Zentrygon albifacies,,0.0,289,,,,,,,,,,
394,Piranga bidentata,,36.07,428,,,,,,,,,,
395,Sula nebouxii,,1520.09,129,,,,,,,,,,
396,Deltarhynchus flammulatus,,17.2,261,,,,,,,,,,
397,Trogon collaris,,65.43,555,,,,,,,,,,
398,Riparia riparia,,12.68,122,,,,,,,,,,
399,Onychorhynchus coronatus,,14.0,36,,,,,,,,,,
400,Parkesia noveboracensis,,0.0,477,,,,,,,,,,
401,Cardellina rubra,,0.0,2492,,,,,,,,,,
402,Euphonia hirundinacea,,14.0,575,,,,,,,,,,
403,Sporophila funerea,,0.0,94,,,,,,,,,,
404,Tyrannus melancholicus/couchii,,0.0,160,,,,,,,,,,
405,Patagioenas flavirostris,,270.81,973,,,,,,,,,,
406,Piranga sp.,,0.0,31,,,,,,,,,,
407,Nycticorax nycticorax,,810.0,428,,,,,,,,,,
408,Aimophila rufescens,,34.3,611,,,,,,,,,,
409,Microrhopias quixensis,,7.9,6,,,,,,,,,,
410,Ramphocelus passerinii,,32.0,35,,,,,,,,,,
411,Geothlypis nelsoni,,11.0,148,,,,,,,,,,
412,Colaptes rubiginosus,,55.79,309,,,,,,,,,,
413,Catharus guttatus,,30.1,1144,,,,,,,,,,
414,Hydroprogne caspia,,0.0,461,,,,,,,,,,
415,Calidris alba,,51.71,269,,,,,,,,,,
416,Rhynchocyclus brevirostris,,24.3,129,,,,,,,,,,
417,Setophaga virens,,0.0,1239,,,,,,,,,,
418,Hirundinidae sp.,,0.0,316,,,,,,,,,,
419,Megaceryle torquata,,317.0,618,,,,,,,,,,
420,Chiroxiphia linearis,,17.44,41,,,,,,,,,,
421,Tolmomyias sulphurescens,,14.3,361,,,,,,,,,,
422,Ramphastos sulfuratus,,409.69,791,,,,,,,,,,
423,Rhytipterna holerythra,,36.8,14,,,,,,,,,,
424,Geranoaetus albicaudatus,,0.0,817,,,,,,,,,,
425,Lanio aurantius,,35.0,54,,,,,,,,,,
426,Tringa solitaria,,48.4,220,,,,,,,,,,
427,Peucaea botterii,,0.0,225,,,,,,,,,,
428,Granatellus venustus,,10.8,512,,,,,,,,,,
429,Dumetella carolinensis,,35.3,394,,,,,,,,,,
430,Chloroceryle amazona,,126.38,320,,,,,,,,,,
431,Thalasseus elegans,,0.0,370,,,,,,,,,,
432,Catharus mexicanus,,33.0,158,,,,,,,,,,
433,Oceanodroma microsoma,,0.0,101,,,,,,,,,,
434,Vireo cassinii/solitarius,,0.0,31,,,,,,,,,,
435,Ardenna creatopus,,0.0,128,,,,,,,,,,
436,Plegadis chihi,,616.89,329,,,,,,,,,,
437,Limosa fedoa,,357.02,288,,,,,,,,,,
438,Pheugopedius felix,,0.0,1125,,,,,,,,,,
439,Vireo solitarius,,15.3,1118,,,,,,,,,,
440,Attila spadiceus,,39.1,354,,,,,,,,,,
441,Amazona autumnalis,,416.0,557,,,,,,,,,,
442,Vireo flavifrons,,18.0,153,,,,,,,,,,
443,Passerina rositae,,20.0,535,,,,,,,,,,
444,Spizaetus tyrannus,,1007.11,119,,,,,,,,,,
445,Charadrius semipalmatus,,46.74,470,,,,,,,,,,
446,Ardenna pacifica,,0.0,264,,,,,,,,,,
447,Falco columbarius,,188.5,176,,,,,,,,,,
448,Circus hudsonius,,0.0,548,,,,,,,,,,
449,Tyrannus couchii,,39.0,261,,,,,,,,,,
450,Trogon melanocephalus,,85.1,215,,,,,,,,,,
451,Passerina amoena,,15.49,99,,,,,,,,,,
452,Cyanocorax yncas,,78.5,625,,,,,,,,,,
453,Sitta pygmaea,,10.6,3,,,,,,,,,,
454,Columbidae sp.,,0.0,42,,,,,,,,,,
455,Calothorax lucifer,,3.3,7,,,,,,,,,,
456,Amazilia tzacatl,,4.79,609,,,,,,,,,,
457,Micrastur semitorquatus,,621.68,406,,,,,,,,,,
458,Cercomacroides tyrannina,,0.0,50,,,,,,,,,,
459,Setophaga magnolia,,0.0,821,,,,,,,,,,
460,Passerina versicolor,,12.89,399,,,,,,,,,,
461,Lepidocolaptes affinis,,34.99,980,,,,,,,,,,
462,Dactylortyx thoracicus,,201.75,3,,,,,,,,,,
463,Psittaciformes sp. (parrot sp.),,0.0,62,,,,,,,,,,
464,Amblycercus holosericeus,,70.42,266,,,,,,,,,,
465,Todirostrum cinereum,,6.29,37,,,,,,,,,,
466,Myiarchus crinitus,,32.1,110,,,,,,,,,,
467,Pelecanus erythrorhynchos,,5608.48,846,,,,,,,,,,
468,Buteo plagiatus,,0.0,2082,,,,,,,,,,
469,Vireo atricapilla,,8.99,33,,,,,,,,,,
470,Arremon aurantiirostris,,34.5,94,,,,,,,,,,
471,Amazilia candida,,3.8,522,,,,,,,,,,
472,Habia fuscicauda,,36.84,462,,,,,,,,,,
473,Alcedinidae sp.,,0.0,11,,,,,,,,,,
474,Vireo bellii,,8.5,807,,,,,,,,,,
475,Aphelocoma unicolor,,124.0,540,,,,,,,,,,
476,Thraupis abbas,,45.0,1168,,,,,,,,,,
477,Calidris himantopus,,57.24,117,,,,,,,,,,
478,Buteo swainsoni,,946.61,324,,,,,,,,,,
479,Parabuteo unicinctus,,850.28,49,,,,,,,,,,
480,Parkesia motacilla,,0.0,567,,,,,,,,,,
481,Campylopterus curvipennis,,6.0,146,,,,,,,,,,
482,Trogon caligatus,,46.5,497,,,,,,,,,,
483,Myiodynastes luteiventris,,46.9,693,,,,,,,,,,
484,Gallinago delicata,,0.0,128,,,,,,,,,,
485,Petrochelidon pyrrhonota,,21.6,496,,,,,,,,,,
486,Podiceps nigricollis,,412.44,113,,,,,,,,,,
487,Puffinus subalaris,,0.0,181,,,,,,,,,,
488,Oncostoma cinereigulare,,6.4,220,,,,,,,,,,
489,Empidonax traillii,,13.39,275,,,,,,,,,,
490,Crax rubra,,4133.0,20,,,,,,,,,,
491,Cardellina canadensis,,0.0,67,,,,,,,,,,
492,Mimus gilvus,,51.99,611,,,,,,,,,,
493,Trogon sp.,,0.0,43,,,,,,,,,,
494,Empidonax difficilis,,10.7,325,,,,,,,,,,
495,Piranga erythrocephala,,21.8,557,,,,,,,,,,
496,Chordeiles minor,,79.3,37,,,,,,,,,,
497,Eupherusa cyanophrys,,4.8,595,,,,,,,,,,
498,Elanus leucurus,,346.0,1144,,,,,,,,,,
499,Arenaria interpres,,135.98,296,,,,,,,,,,
500,Strigiformes sp.,,0.0,9,,,,,,,,,,
501,Campylorhynchus zonatus,,34.6,702,,,,,,,,,,
502,Setophaga pensylvanica,,0.0,100,,,,,,,,,,
503,Peucaea humeralis,,0.0,8,,,,,,,,,,
504,Panyptila sanctihieronymi,,48.1,43,,,,,,,,,,
505,Sternula antillarum,,0.0,198,,,,,,,,,,
506,Pteroglossus torquatus,,219.07,294,,,,,,,,,,
507,Pyrilia haematotis,,149.0,129,,,,,,,,,,
508,Crypturellus cinnamomeus,,422.0,142,,,,,,,,,,
509,Thamnophilus doliatus,,27.03,332,,,,,,,,,,
510,Dendrocincla homochroa,,39.43,28,,,,,,,,,,
511,Coccyzus minor,,63.89,107,,,,,,,,,,
512,Coccothraustes vespertinus,,57.3,18,,,,,,,,,,
513,Progne sp.,,0.0,18,,,,,,,,,,
514,Molothrus oryzivorus,,181.85,27,,,,,,,,,,
515,Pheugopedius maculipectus,,0.0,924,,,,,,,,,,
516,Euphonia affinis,,10.0,1154,,,,,,,,,,
517,Laterallus ruber,,44.4,53,,,,,,,,,,
518,Sayornis phoebe,,19.7,62,,,,,,,,,,
519,Claravis pretiosa,,68.2,220,,,,,,,,,,
520,Basileuterus lachrymosus,,0.0,342,,,,,,,,,,
521,Columbina minuta,,32.59,38,,,,,,,,,,
522,Molothrus ater,,40.26,485,,,,,,,,,,
523,Porzana carolina,,74.8,180,,,,,,,,,,
524,Anthracothorax prevostii,,6.4,146,,,,,,,,,,
525,Sitta carolinensis,,21.0,275,,,,,,,,,,
526,Polioptila plumbea,,6.0,50,,,,,,,,,,
527,Spiza americana,,26.18,333,,,,,,,,,,
528,Setophaga americana,,0.0,453,,,,,,,,,,
529,Passerculus sandwichensis,,19.97,178,,,,,,,,,,
530,Basileuterus culicivorus,,10.5,784,,,,,,,,,,
531,Psittaciformes sp. (parakeet sp.),,0.0,32,,,,,,,,,,
532,Sporophila minuta,,7.8,198,,,,,,,,,,
533,Sterninae sp.,,0.0,130,,,,,,,,,,
534,Chlorostilbon auriceps,,2.61,282,,,,,,,,,,
535,Oceanodroma melania,,61.5,135,,,,,,,,,,
536,Rynchops niger,,297.73,293,,,,,,,,,,
537,Tyto alba,,403.32,152,,,,,,,,,,
538,Pheucticus chrysopeplus,,77.6,88,,,,,,,,,,
539,Charadrius wilsonia,,55.1,88,,,,,,,,,,
540,Burhinus bistriatus,,787.0,315,,,,,,,,,,
541,Chlidonias niger,,65.3,311,,,,,,,,,,
542,Lepidocolaptes souleyetii,,25.7,192,,,,,,,,,,
543,Amazona oratrix,,476.94,96,,,,,,,,,,
544,Phainopepla nitens,,22.1,9,,,,,,,,,,
545,Vermivora chrysoptera,,8.74,8,,,,,,,,,,
546,Melozone kieneri,,38.7,85,,,,,,,,,,
547,Lampornis viridipallens,,5.33,5,,,,,,,,,,
548,Buteogallus urubitinga,,1152.87,129,,,,,,,,,,
